WGATAR_position,WGATAR_chr,WGATAR_id,WGATAR_start,WGATAR_end,WGATAR_to_GATA1_peak_summit,Number_editable_bases,background_genes_counts_on_TAD,WGATAG_to_nearest_gene_distance,dis_motif2motif,RAD21,GATA1,TAL1,LDB1,CTCF,MED1,ATAC,BRD4,NIPBL,GATA2,effect_value,PHRED,phylop,chromatin_state,delta_occupancy,delta_atac,scores_evo2,GC_content
chr13:28171260-28171266,chr13,WGATAR_830,28171260,28171266,12,2,11,-23614,26,3.75,15.0,3.75,6.0,1.75,1.75,0.52,0.25,3.0,5.75,0.390459324,3.8559285714285716,0.0,5,0.24331546,0.35061455,-15.539413452148438,0.45
chr13:28173619-28173625,chr13,WGATAR_834,28173619,28173625,563,2,11,-21255,504,3.0,12.0,11.25,4.25,3.5,2.75,1.04,2.5,4.75,1.25,0.548399076,5.32552,-0.2025,5,0.7885817,0.0036678314,-2.7611846923828125,0.35
chr13:28174129-28174135,chr13,WGATAR_837,28174129,28174135,53,3,11,-20745,9,11.0,307.25,47.5,88.0,5.75,9.75,8.32,44.75,22.0,31.5,0.356492999,10.234333333333334,0.0,16,0.7069607,0.036566734,-1.0721435546875,0.35
chr13:28174144-28174150,chr13,WGATAR_836,28174144,28174150,38,1,11,-20730,9,11.0,307.25,47.5,88.0,5.75,9.75,12.48,44.75,22.0,31.5,0.186795473,7.27407142857143,0.0,20,0.43304634,0.093963146,0.06439208984375,0.55
chr13:28174232-28174238,chr13,WGATAR_835,28174232,28174238,50,1,11,-20642,82,11.75,344.75,62.25,118.25,7.25,11.75,20.8,59.25,19.75,27.75,0.126852966,9.577,0.0,20,1.2003369,1.1823397,0.7839813232421875,0.5
chr13:28174757-28174763,chr13,WGATAR_833,28174757,28174763,307,2,11,-20117,318,2.5,17.75,10.25,6.0,2.5,2.0,1.56,6.75,6.25,4.5,0.245525014,2.1695909090909096,0.0,20,0.49661958,0.15674734,0.3697509765625,0.4
chr13:28175081-28175087,chr13,WGATAR_839,28175081,28175087,17,1,11,-19793,14,5.75,44.75,13.25,15.5,4.5,4.25,7.8,12.75,7.25,6.0,0.329622901,2.8898333333333337,0.0,20,1.5197964,0.8730707,-1.15386962890625,0.35
chr13:28175101-28175107,chr13,WGATAR_838,28175101,28175107,37,3,11,-19773,14,5.75,44.75,13.25,15.5,4.5,4.25,7.28,12.75,7.25,6.0,0.351193098,3.760545454545455,0.0,20,0.8189087,0.47268653,0.9915771484375,0.3
chr13:28175362-28175368,chr13,WGATAR_840,28175362,28175368,298,1,11,-19512,255,2.5,16.0,10.25,5.0,3.0,4.75,0.52,4.75,4.25,2.25,0.622161843,4.173444444444445,0.283,10,0.08219296,-0.0003182888,-1.7620391845703125,0.4
chr13:28178747-28178753,chr13,WGATAR_841,28178747,28178753,1125,1,11,-16127,367,1.0,10.75,3.75,2.75,0.25,3.25,1.04,3.75,5.5,2.0,0.16976401,3.2823333333333333,0.0,10,1.0174505,0.124859095,-3.151641845703125,0.3
chr13:28179120-28179126,chr13,WGATAR_843,28179120,28179126,752,1,11,-15754,38,2.25,4.5,6.75,2.5,5.0,3.5,0.52,8.25,5.0,4.75,0.502185815,2.199818181818182,0.0,14,0.5200585,0.04004979,-1.85308837890625,0.25
chr13:28179164-28179170,chr13,WGATAR_842,28179164,28179170,708,3,11,-15710,38,2.5,4.5,6.75,3.0,5.5,4.25,0.52,7.5,5.5,4.75,0.446794093,5.512363636363637,0.0,21,0.011773944,0.014934778,-0.5760498046875,0.2
chr13:28179406-28179412,chr13,WGATAR_849,28179406,28179412,466,2,11,-15468,-2,2.25,18.0,13.0,12.75,9.25,5.75,1.04,6.75,6.5,5.5,0.491596662,3.3335,0.0,17,1.4941025,0.3629408,-2.6006011962890625,0.6
chr13:28179410-28179416,chr13,WGATAR_848,28179410,28179416,462,3,11,-15464,-2,2.25,18.0,13.0,12.75,9.25,5.75,1.04,6.75,6.5,5.5,-0.346111512,2.477333333333333,0.0,17,1.0086592,0.21426773,-3.36004638671875,0.45
chr13:28179569-28179575,chr13,WGATAR_847,28179569,28179575,303,3,11,-15305,81,6.25,18.0,10.75,7.5,6.0,5.25,2.6,10.25,7.0,6.5,0.11821837,5.731153846153846,0.0,17,0.11081827,0.0045599937,-3.762176513671875,0.35
chr13:28179656-28179662,chr13,WGATAR_846,28179656,28179662,216,1,11,-15218,81,6.25,22.0,8.5,7.25,5.75,5.5,0.52,6.5,7.25,5.0,0.425928071,5.26475,0.0,17,0.045584083,-0.010217667,-2.5871047973632812,0.25
chr13:28179753-28179759,chr13,WGATAR_845,28179753,28179759,119,2,11,-15121,91,7.5,29.5,7.75,7.5,4.25,6.5,1.04,7.0,7.25,5.5,0.654440229,10.725238095238094,0.0536667,20,0.069073915,0.01975751,-1.1484146118164062,0.25
chr13:28179880-28179886,chr13,WGATAR_844,28179880,28179886,8,3,11,-14994,121,6.25,39.5,7.75,7.5,1.0,7.0,2.6,8.75,7.75,5.0,0.302173196,5.5760000000000005,0.0,20,1.0878963,0.3281083,-0.8146209716796875,0.4
chr13:28218464-28218470,chr13,WGATAR_850,28218464,28218470,171,2,11,-23799,181,7.5,20.0,12.25,5.25,5.0,6.5,1.56,11.75,8.25,7.75,0.345364281,18.19666666666667,0.0,10,0.12410015,-0.0120821,-41.17169189453125,0.2
chr13:28218651-28218657,chr13,WGATAR_853,28218651,28218657,16,2,11,-23986,181,5.75,31.5,14.75,9.75,2.75,4.75,2.08,17.5,16.75,9.0,0.453862768,13.915833333333332,0.0,10,0.33348316,0.05192399,-4.782073974609375,0.4
chr13:28218967-28218973,chr13,WGATAR_852,28218967,28218973,332,3,11,-24302,31,3.5,10.0,4.5,5.0,2.5,4.75,0.0,7.5,6.5,5.0,0.237987618,3.7797499999999995,0.0,10,0.08294752,-0.0012233257,-4.26190185546875,0.3
chr13:28219004-28219010,chr13,WGATAR_851,28219004,28219010,369,2,11,-24339,31,3.5,9.5,5.25,3.75,2.5,4.25,0.0,7.5,6.25,4.25,0.725329555,11.516666666666666,0.505,10,0.06508821,0.009182215,-1.3304443359375,0.3
chr13:28242099-28242105,chr13,WGATAR_855,28242099,28242105,190,2,11,-47434,41,7.5,37.75,7.25,2.0,4.0,4.0,1.56,3.75,9.75,3.5,0.20564288,8.181636363636365,0.0,10,0.07377505,0.020707369,-1.0884246826171875,0.35
chr13:28242146-28242152,chr13,WGATAR_858,28242146,28242152,143,1,11,-47481,41,10.5,59.5,7.75,3.5,4.0,4.5,2.08,5.5,11.5,5.0,0.261877668,2.25,0.0,20,0.15739202,-0.0009968281,-1.92999267578125,0.3
chr13:28242280-28242286,chr13,WGATAR_857,28242280,28242286,9,2,11,-47615,99,16.0,117.25,9.25,9.5,3.75,8.0,20.28,10.25,21.5,10.25,0.844868472,6.671960000000001,-0.2795,20,0.73444736,0.31274557,-0.4493141174316406,0.5
chr13:28242385-28242391,chr13,WGATAR_856,28242385,28242391,96,2,11,-47720,99,16.5,94.25,10.75,12.25,5.5,8.0,5.72,9.75,15.0,11.0,0.662666453,9.767555555555553,0.0,16,0.8358869,0.4202876,-2.4683837890625,0.55
chr13:28242572-28242578,chr13,WGATAR_854,28242572,28242578,283,1,11,-47907,181,10.25,34.5,9.25,3.75,5.0,4.0,2.08,3.25,8.25,6.25,0.064420834,6.802,0.0,10,0.27052873,0.078491926,0.19499969482421875,0.4
chr13:28254277-28254283,chr13,WGATAR_859,28254277,28254283,17,1,11,-59612,11699,10.0,61.25,10.5,10.25,8.5,3.25,8.32,12.75,10.5,10.25,0.383135211,2.327588235294118,0.457333,16,0.6566541,0.31946135,-3.121337890625,0.5
chr13:32880320-32880326,chr13,WGATAR_862,32880320,32880326,40,1,9,-8898,42,5.5,14.75,6.0,1.75,1.75,0.25,0.0,2.25,2.0,2.75,0.507537594,3.6720769230769226,0.0,7,0.5281584,0.31463957,-7.703857421875,0.4
chr13:32880368-32880374,chr13,WGATAR_861,32880368,32880374,8,3,9,-8850,42,5.5,18.5,4.75,2.0,1.5,0.75,0.0,1.75,2.75,3.0,0.22354633,10.400333333333334,0.0,7,1.3452848,0.52027607,-6.68890380859375,0.35
chr13:32880464-32880470,chr13,WGATAR_860,32880464,32880470,104,2,9,-8754,90,4.5,15.5,3.25,2.0,1.25,3.25,0.0,1.75,2.5,3.25,0.137069466,9.409166666666666,0.0,7,0.48814046,0.056268454,-7.33746337890625,0.25
chr13:32997964-32997970,chr13,WGATAR_866,32997964,32997970,18,2,9,-3312,854,9.5,129.75,38.25,50.25,8.5,8.5,8.84,34.5,15.75,12.5,0.680791638,3.358111111111111,0.0781667,20,1.7752415,1.3453686,-1.2916183471679688,0.55
chr13:32998824-32998830,chr13,WGATAR_863,32998824,32998830,878,3,9,-4172,28,2.0,2.75,10.0,0.5,5.0,3.25,0.52,7.75,4.25,3.25,0.415123797,4.705222222222222,0.0,11,0.06691396,0.16152048,-5.001190185546875,0.4
chr13:32998858-32998864,chr13,WGATAR_864,32998858,32998864,912,4,9,-4206,28,2.0,2.75,10.0,0.5,5.0,3.25,0.52,7.75,4.25,3.25,0.277331463,5.426238095238095,0.0,11,0.21451169,-0.0035543442,-2.061248779296875,0.45
chr13:32999265-32999271,chr13,WGATAR_865,32999265,32999271,1319,3,9,-4613,349,3.0,3.0,7.75,2.25,4.25,3.25,0.52,9.5,5.0,4.0,0.623046132,4.324,0.0,10,0.13784283,-0.0032885075,-4.438140869140625,0.5
chr13:32999620-32999626,chr13,WGATAR_867,32999620,32999626,1182,1,9,-4968,349,5.0,3.0,2.25,1.0,2.25,3.0,1.04,8.0,2.75,2.5,0.775691434,4.267272727272728,0.0,10,0.74034965,0.15556335,-0.642333984375,0.55
chr13:33000743-33000749,chr13,WGATAR_870,33000743,33000749,59,2,9,-6091,74,2.75,27.25,9.5,4.5,4.5,8.0,2.08,8.0,9.75,4.0,1.178090799,7.609535714285715,-0.463,17,0.5367297,0.12458587,2.576873779296875,0.5
chr13:33000823-33000829,chr13,WGATAR_869,33000823,33000829,21,1,9,-6171,74,3.0,28.0,10.75,6.0,5.75,6.5,3.64,8.75,10.5,4.75,0.614149863,6.09096,0.0,17,1.5491344,0.9949589,-0.578643798828125,0.5
chr13:33001143-33001149,chr13,WGATAR_868,33001143,33001149,341,2,9,-6491,314,6.0,9.75,7.75,2.5,3.0,3.5,4.68,7.25,13.5,4.25,0.390778082,6.340052631578947,0.0,15,1.4915888,0.32206726,1.4539794921875,0.35
chr13:33005757-33005763,chr13,WGATAR_871,33005757,33005763,59,2,9,-3310,4608,3.0,17.0,4.75,7.25,3.75,3.0,0.52,2.0,5.0,4.0,0.975500929,2.5705,0.01,16,0.77843237,0.35896397,1.81646728515625,0.5
chr13:33042960-33042966,chr13,WGATAR_872,33042960,33042966,111,2,9,-8446,2872,3.5,11.5,6.25,9.0,3.75,4.25,3.64,9.0,5.25,5.75,1.56790409,5.609411764705882,0.0,16,0.34569043,0.31177258,6.544097900390625,0.45
chr13:33045838-33045844,chr13,WGATAR_873,33045838,33045844,13,2,9,-5568,2088,9.25,23.75,19.5,27.5,4.0,5.0,13.52,5.25,12.0,5.0,1.10148108,5.628304347826088,0.0,20,2.078617,1.8766878,-17.081451416015625,0.45
chr13:33047932-33047938,chr13,WGATAR_876,33047932,33047938,102,3,9,-3474,109,6.5,35.25,10.75,12.5,2.25,6.0,2.6,5.25,7.0,3.5,0.352693735,3.7123076923076934,0.0,0,0.01394999,0.073745966,-3.025726318359375,0.4
chr13:33048047-33048053,chr13,WGATAR_875,33048047,33048053,13,3,9,-3359,-1,6.75,40.5,10.25,18.25,2.0,6.5,2.6,5.5,5.0,4.75,0.451814463,4.789541666666666,0.0,16,0.6452951,0.65977645,-2.555084228515625,0.3
chr13:33048052-33048058,chr13,WGATAR_874,33048052,33048058,18,2,9,-3354,-1,6.75,40.5,10.25,18.25,2.0,6.5,2.6,5.5,5.0,4.75,0.218691861,3.910538461538461,0.0,16,0.558787,0.23908877,-7.042144775390625,0.45
chr13:33048264-33048270,chr13,WGATAR_877,33048264,33048270,230,2,9,-3142,206,4.75,13.75,5.5,7.0,0.75,4.25,1.04,2.5,2.5,2.75,0.941796012,0.4314,-0.027,10,0.22990286,-0.027575731,-5.45721435546875,0.4
chr13:33070873-33070879,chr13,WGATAR_878,33070873,33070879,168,1,9,-63783,188,3.5,25.75,9.75,11.25,2.0,8.0,2.6,9.25,7.25,3.25,0.687215123,9.591090909090909,-0.582167,16,1.3545156,1.1092367,-47.5120849609375,0.6
chr13:33071067-33071073,chr13,WGATAR_880,33071067,33071073,26,1,9,-63977,4,4.5,35.5,14.25,9.5,3.0,6.0,2.08,8.25,3.75,3.5,0.595341916,6.765125,0.0,16,0.2495476,0.23947144,-0.460693359375,0.4
chr13:33071077-33071083,chr13,WGATAR_879,33071077,33071083,36,2,9,-63987,4,4.75,34.25,12.75,8.25,3.0,5.25,2.08,8.0,3.75,3.25,0.488969843,3.9642142857142852,0.0,16,0.3787868,0.22413945,-0.959075927734375,0.4
chr13:33096976-33096982,chr13,WGATAR_883,33096976,33096982,211,5,9,-13445,207,3.0,11.25,3.0,1.75,1.25,2.5,0.0,2.5,3.5,3.75,0.243196269,11.3626,0.0,1,0.71601045,0.014710188,-10.3067626953125,0.25
chr13:33097189-33097195,chr13,WGATAR_882,33097189,33097195,2,1,9,-13658,29,2.5,11.75,5.75,2.5,0.75,3.25,0.52,3.75,3.0,3.75,-0.014855619,3.6894,0.0,1,0.2667749,0.2536385,-0.67626953125,0.4
chr13:33097224-33097230,chr13,WGATAR_881,33097224,33097230,37,1,9,-13693,29,2.25,12.5,5.5,2.5,0.75,3.25,0.52,2.75,3.0,3.25,0.346769373,5.229555555555555,0.0,1,0.802673,0.6611798,-8.3800048828125,0.55
chr14:65494827-65494833,chr14,WGATAR_916,65494827,65494833,531,1,8,-16574,524,2.5,2.5,1.5,1.5,1.0,2.75,0.0,2.75,4.5,3.0,0.496042508,6.4576875000000005,0.0,1,0.004411459,0.00078320503,0.368194580078125,0.65
chr14:65495357-65495363,chr14,WGATAR_915,65495357,65495363,1,2,8,-16044,42,1.75,7.25,5.5,2.75,1.5,3.25,0.0,2.25,3.0,2.5,0.603546039,4.481705882352941,0.280333,1,0.19664478,0.23998165,-1.706024169921875,0.25
chr14:65495405-65495411,chr14,WGATAR_914,65495405,65495411,47,4,8,-15996,42,1.75,9.0,6.0,2.75,1.5,3.75,0.0,2.5,3.75,2.5,0.454868091,5.687384615384616,0.0,1,0.29262942,0.06079626,1.9283409118652344,0.3
chr14:65508594-65508600,chr14,WGATAR_918,65508594,65508600,1355,3,8,-2807,279,3.5,2.5,10.5,4.25,3.0,4.25,0.52,4.75,4.0,2.75,1.436301431,3.491307692307692,0.390333,18,1.4170437,0.32265067,-1.36810302734375,0.4
chr14:65508879-65508885,chr14,WGATAR_917,65508879,65508885,1070,1,8,-2522,279,2.75,2.25,6.0,5.25,1.75,1.75,0.52,5.75,3.5,1.25,-0.169995082,3.0327499999999996,0.0,5,0.40121138,0.15327334,-10.0604248046875,0.4
chr14:65509964-65509970,chr14,WGATAR_920,65509964,65509970,15,1,8,-1437,35,15.25,264.75,89.25,170.75,6.0,19.5,16.64,63.5,38.25,30.5,0.533531476,7.554333333333333,0.0,20,0.7981911,0.47562456,1.0673370361328125,0.3
chr14:65510005-65510011,chr14,WGATAR_919,65510005,65510011,56,4,8,-1396,35,15.25,294.5,89.0,185.25,6.0,19.25,11.96,66.0,37.25,33.0,0.852279272,14.75607142857143,0.0,20,0.81251717,0.5638561,0.156005859375,0.4
chr14:65511444-65511450,chr14,WGATAR_922,65511444,65511450,11,3,8,-37303,401,15.5,153.25,65.0,87.25,13.25,12.75,18.2,51.75,26.75,14.0,0.290821697,10.5258,0.0,20,2.1126006,1.6628752,2.11566162109375,0.5
chr14:65511851-65511857,chr14,WGATAR_921,65511851,65511857,396,1,8,-36896,401,3.75,13.75,10.75,9.5,2.5,9.25,5.2,14.5,6.75,3.0,0.456898852,2.611529411764706,0.0,20,0.23651236,0.035256147,2.695281982421875,0.4
chr14:65524114-65524120,chr14,WGATAR_923,65524114,65524120,409,2,8,-24633,353,1.5,11.25,5.0,3.5,2.5,4.25,0.0,5.75,3.75,1.75,0.901659603,0.0,-0.349333,18,0.09146565,5.9366226e-05,-6.333625793457031,0.55
chr14:65524473-65524479,chr14,WGATAR_925,65524473,65524479,50,1,8,-24274,156,8.5,64.25,20.25,14.25,6.25,9.0,3.64,15.5,20.75,19.5,0.171503201,0.247,0.0,10,0.9960145,0.10210872,-0.6120758056640625,0.2
chr14:65524635-65524641,chr14,WGATAR_924,65524635,65524641,112,1,8,-24112,156,13.25,56.75,17.75,14.25,6.25,7.0,1.56,17.75,26.75,18.5,0.19882442,5.7378,0.0,16,0.105424464,0.043403625,-4.173316955566406,0.4
chr14:65561131-65561137,chr14,WGATAR_928,65561131,65561137,2096,2,8,-376684,303,2.5,4.25,4.25,3.75,1.75,4.5,0.52,3.25,1.0,0.75,0.292548965,11.813333333333333,0.0,1,0.64250755,0.17685461,0.21453857421875,0.35
chr14:65561440-65561446,chr14,WGATAR_927,65561440,65561446,1787,3,8,511,12,2.0,4.5,7.25,4.5,2.25,2.5,0.52,0.75,2.5,2.5,0.888986096,7.4773,0.0716667,1,0.8113489,0.07682514,1.340911865234375,0.55
chr14:65561458-65561464,chr14,WGATAR_926,65561458,65561464,1769,1,8,529,12,2.0,4.5,7.25,4.5,2.25,2.5,0.0,0.75,2.5,2.5,0.813691509,5.553714285714287,0.0,1,1.1782811,0.66079426,2.537933349609375,0.5
chr14:65561783-65561789,chr14,WGATAR_930,65561783,65561789,1444,2,8,854,319,3.0,2.75,4.5,0.25,3.0,2.0,0.0,1.75,2.5,0.5,0.642696841,5.264166666666667,0.0,1,0.03426987,-0.0020728111,-0.30670166015625,0.4
chr14:65562290-65562296,chr14,WGATAR_929,65562290,65562296,937,4,8,1361,501,2.0,7.25,5.0,3.75,4.0,2.0,1.04,2.25,3.0,2.75,0.44970821,6.891400000000001,0.0,18,0.6875132,0.049146414,-0.2333984375,0.35
chr14:65563128-65563134,chr14,WGATAR_932,65563128,65563134,99,2,8,2199,154,9.75,73.25,7.0,3.75,3.0,5.0,3.64,9.25,12.0,9.5,0.15213487,4.176375,0.0,16,0.08854687,0.039700508,-0.1055908203125,0.35
chr14:65563288-65563294,chr14,WGATAR_931,65563288,65563294,61,3,8,2359,154,9.25,88.75,4.5,4.0,4.0,10.0,1.56,13.0,10.0,11.0,0.347142726,10.909363636363636,0.0,16,0.47881132,0.22115183,-2.548980712890625,0.5
chr14:65569943-65569949,chr14,WGATAR_933,65569943,65569949,727,1,8,-531,4092,7.0,10.0,8.25,5.25,12.0,9.25,10.92,5.5,10.25,3.0,0.196183238,7.094777777777778,0.0,15,0.8911545,0.6981847,4.0821533203125,0.45
chr14:65574041-65574047,chr14,WGATAR_937,65574041,65574047,20,1,8,-4629,11,3.25,16.5,6.75,6.25,3.5,5.25,0.52,2.75,5.25,4.5,0.517816048,6.788166666666668,0.0,16,0.47342038,0.116286755,-0.666015625,0.4
chr14:65574058-65574064,chr14,WGATAR_936,65574058,65574064,3,4,8,-4646,11,3.25,16.5,6.75,6.25,3.5,5.25,0.52,2.75,5.25,4.5,0.411412156,7.430714285714285,0.0,16,1.2083912,0.6792512,0.062255859375,0.4
chr14:65574148-65574154,chr14,WGATAR_935,65574148,65574154,87,4,8,-4736,16,4.25,19.25,7.5,8.0,5.25,6.0,0.52,3.5,5.75,4.0,0.067547957,7.140285714285715,0.0,16,0.91418314,0.68334436,-0.62445068359375,0.45
chr14:65574170-65574176,chr14,WGATAR_934,65574170,65574176,109,3,8,-4758,16,4.25,19.25,7.5,8.0,5.25,6.0,0.52,3.5,5.75,4.0,0.521890945,3.157230769230769,-0.3765,16,0.7422545,0.40704012,-1.5573768615722656,0.45
chr15:25576956-25576962,chr15,WGATAR_963,25576956,25576962,234,3,4,-162134,204,3.5,6.5,5.75,1.75,1.0,3.0,1.04,7.75,3.75,2.75,0.472256924,2.8240588235294117,0.0,13,0.46172178,-0.018785238,-3.790863037109375,0.25
chr15:25577166-25577172,chr15,WGATAR_967,25577166,25577172,24,2,4,-162344,63,4.0,42.0,11.5,18.75,3.25,4.25,2.08,10.5,6.75,6.5,0.448273459,2.11175,0.0,16,1.2590168,1.463505,-1.6376953125,0.45
chr15:25577235-25577241,chr15,WGATAR_966,25577235,25577241,45,2,4,-162413,5,3.75,51.25,12.75,20.0,2.5,5.5,4.68,11.5,5.5,6.75,1.46958404,2.7310952380952385,0.0,16,-0.017532349,0.057549953,-0.120880126953125,0.35
chr15:25577246-25577252,chr15,WGATAR_965,25577246,25577252,56,1,4,-162424,5,3.75,51.25,12.75,20.0,2.5,5.5,4.68,11.5,5.5,6.75,0.847319341,3.408857142857143,0.0,16,0.16048312,0.2458601,-1.0628662109375,0.2
chr15:25577411-25577417,chr15,WGATAR_964,25577411,25577417,221,1,4,-162589,131,5.0,28.0,8.25,8.0,0.75,3.5,5.72,7.5,4.5,5.5,2.279185604,5.115958333333333,0.0,16,0.51071554,0.07226515,-3.2408447265625,0.5
chr15:25577548-25577554,chr15,WGATAR_962,25577548,25577554,358,2,4,-162726,131,3.0,15.0,8.25,6.25,3.0,2.5,2.08,5.5,2.75,2.25,0.410431287,4.978652173913044,0.0,13,0.029524446,0.013659477,0.555450439453125,0.4
chr15:25671859-25671865,chr15,WGATAR_968,25671859,25671865,395,1,4,-79478,346,2.5,7.5,2.75,2.5,2.75,1.0,0.52,5.5,2.5,3.25,0.488928862,2.239954545454545,0.0,5,0.049027264,-0.006695986,-1.8940353393554688,0.3
chr15:25672211-25672217,chr15,WGATAR_973,25672211,25672217,43,4,4,-79830,41,4.5,43.5,7.25,7.25,2.5,5.25,5.2,11.0,10.0,9.25,0.238938944,2.9994,0.0,16,-0.18129098,-0.16852784,-1.8201904296875,0.35
chr15:25672258-25672264,chr15,WGATAR_972,25672258,25672264,4,3,4,-79877,41,6.0,50.25,8.5,7.5,4.25,6.25,5.2,12.25,10.5,10.5,0.154947564,4.8538571428571435,0.0,16,0.79796326,0.49814653,-1.58856201171875,0.3
chr15:25672333-25672339,chr15,WGATAR_971,25672333,25672339,79,1,4,-79952,40,6.0,44.75,5.0,5.5,5.0,8.0,2.08,11.0,6.75,9.5,0.079700271,1.2,0.0,16,0.042188168,0.02885747,-1.5760040283203125,0.2
chr15:25672379-25672385,chr15,WGATAR_970,25672379,25672385,125,2,4,-79998,40,6.0,36.25,3.75,4.5,4.25,7.5,3.12,10.75,6.25,8.5,0.336370509,4.188818181818181,0.0,10,0.6023612,0.034523964,-2.9318389892578125,0.3
chr15:25672500-25672506,chr15,WGATAR_969,25672500,25672506,246,3,4,-80119,115,7.25,22.5,3.0,4.25,3.25,6.5,3.12,7.75,5.75,4.5,0.574437017,5.984583333333333,0.0,10,0.7099299,0.017647028,0.308349609375,0.35
chr15:42461640-42461646,chr15,WGATAR_988,42461640,42461646,75,3,11,-12807,71,5.0,24.0,3.75,1.25,3.0,3.0,0.0,3.5,4.0,2.75,0.513934379,3.451333333333334,0.0,4,0.0034415722,-0.005759716,-0.6042251586914062,0.2
chr15:42461717-42461723,chr15,WGATAR_987,42461717,42461723,2,1,11,-12884,71,5.0,29.75,3.75,1.25,2.25,2.25,0.0,3.0,4.75,2.5,0.570884218,2.7545,0.294667,4,0.74962306,0.12001014,1.01556396484375,0.25
chr15:42494884-42494890,chr15,WGATAR_989,42494884,42494890,170,4,11,-3021,39,2.5,13.25,3.0,0.0,0.25,2.25,0.0,4.5,0.5,2.0,-0.179373984,6.5116,0.0,1,0.2870707,0.0004823208,-0.15624237060546875,0.45
chr15:42494929-42494935,chr15,WGATAR_991,42494929,42494935,125,1,11,-3066,39,2.5,16.5,3.25,0.0,0.5,2.25,0.0,4.25,0.0,2.25,1.146690405,5.840481481481481,0.185833,1,0.006328523,-0.0036158562,-6.6787567138671875,0.65
chr15:42495052-42495058,chr15,WGATAR_990,42495052,42495058,2,2,11,-3189,117,2.75,27.75,4.0,1.0,0.75,3.0,0.52,2.75,0.5,2.25,0.54588821,2.7266,0.0,1,0.7696505,0.0767107,0.8915328979492188,0.45
chr16:2203970-2203976,chr16,WGATAR_1064,2203970,2203976,90,2,45,-17841,68118348,19.5,24.5,15.5,11.5,54.25,7.75,4.68,42.5,14.25,8.0,0.164220264,7.205444444444445,0.0,25,1.4133703,0.14685297,0.2723388671875,0.6
chr16:70322324-70322330,chr16,WGATAR_1065,70322324,70322330,17,1,37,-1237,108281,10.5,23.5,9.75,8.5,5.0,7.25,5.72,27.25,6.25,4.0,0.640644705,6.61575,0.0,17,1.0186276,0.51979136,1.070281982421875,0.45
chr16:70430611-70430617,chr16,WGATAR_1066,70430611,70430617,10,3,37,-24543,2973,13.25,40.0,13.25,9.5,16.0,8.75,21.84,15.25,18.0,6.0,0.307354454,9.130764705882354,0.0,20,1.2714925,0.39654493,-1.278564453125,0.45
chr16:70433590-70433596,chr16,WGATAR_1067,70433590,70433596,8,1,37,-27522,2973,12.25,88.5,20.5,39.0,14.0,11.5,7.8,21.25,14.0,16.25,0.852646433,4.5713333333333335,0.4685,20,1.5272517,0.95400214,-1.5211181640625,0.55
chr16:70438439-70438445,chr16,WGATAR_1068,70438439,70438445,28,4,37,-32371,4843,16.25,152.5,16.75,24.75,8.75,12.25,5.2,37.0,31.0,13.5,0.250250297,3.7628571428571433,0.193,20,0.025825739,0.50957084,-2.904296875,0.35
chr16:70449231-70449237,chr16,WGATAR_1070,70449231,70449237,18,1,37,-43163,120,14.75,187.0,63.75,94.5,4.0,20.75,14.56,38.25,26.5,14.5,-0.159571948,0.0,0.0,20,1.7813474,1.49031,-7.6680908203125,0.45
chr16:70449357-70449363,chr16,WGATAR_1069,70449357,70449363,108,2,37,-43289,120,14.0,175.75,60.5,81.25,4.5,20.0,11.44,36.25,29.25,11.25,0.140158177,5.7540000000000004,0.0,20,0.102166414,0.175637,4.396797180175781,0.5
chr16:70462269-70462275,chr16,WGATAR_1073,70462269,70462275,21,4,37,-56201,22,39.75,349.75,71.5,157.5,16.5,33.25,49.4,70.0,72.0,35.75,0.951576338,8.26525,0.821167,20,0.4063735,0.5731373,0.8355712890625,0.45
chr16:70462297-70462303,chr16,WGATAR_1072,70462297,70462303,7,3,37,-56229,8,42.25,412.0,77.25,170.5,16.5,28.75,62.92,70.0,68.25,39.25,0.120570823,17.98071428571429,0.0,20,0.43747687,0.16679764,0.6593780517578125,0.4
chr16:70462311-70462317,chr16,WGATAR_1071,70462311,70462317,21,1,37,-56243,8,42.25,412.0,77.25,170.5,16.5,28.75,65.0,70.0,68.25,39.25,0.390337807,19.564814814814813,0.0,20,0.7580764,0.6890874,1.6046142578125,0.45
chr16:70467171-70467177,chr16,WGATAR_1074,70467171,70467177,3,2,37,-61103,4854,13.75,57.0,8.5,9.75,5.75,13.0,7.8,14.5,20.75,15.5,0.543366606,5.364000000000001,0.193667,20,1.0556118,0.069606304,0.01165771484375,0.35
chr16:70554669-70554675,chr16,WGATAR_1075,70554669,70554675,372,2,37,-3020,335,3.5,10.0,6.75,4.25,5.0,3.75,0.52,6.5,3.5,2.5,0.222611956,6.052571428571428,0.0,10,0.10887432,0.013780117,0.5623779296875,0.35
chr16:70555010-70555016,chr16,WGATAR_1077,70555010,70555016,31,3,37,-2679,36,8.0,61.5,19.25,20.25,3.0,5.75,8.84,17.5,9.75,13.0,1.092158154,10.312678571428574,0.0,20,0.71658826,0.43385744,-10.8448486328125,0.5
chr16:70555052-70555058,chr16,WGATAR_1076,70555052,70555058,11,1,37,-2637,36,10.25,77.5,20.5,26.5,4.25,5.75,10.92,20.0,10.5,13.0,0.322944632,14.954166666666666,0.0,20,1.212532,1.2552454,-10.3987398147583,0.4
